"Domain","Capability","Priority","Present","MaturityScore","ProductionStatus","RelevantScreen","RelevantFile","APIOrDataSource","PermissionEvidence","AuditEvidence","TestEvidence","IntegrationEvidence","Screenshot","Gap","Risk","RecommendedNextTask","VerificationMethod","ManualUITested","CodeInspected","AutomatedTestPresent","BackendVerified","ExternalIntegrationVerified"
"F","Peer support session documentation","Medium","Yes","1.5","Demo","PeerSupport","PeerSupport.tsx","Page-local","full for bht","In-memory only","None","None","","Not persisted","Medium","Persist peer support sessions with goal tracking","Code Inspection","No","Yes","No","No","No"
"F","Alumni engagement tracking","Medium","Yes","1.5","Demo","AlumniProgram","AlumniProgram.tsx","Page-local","full for aftercare_staff","In-memory only","None","None","","Not persisted","Medium","Persist alumni engagement with event management","Code Inspection","No","Yes","No","No","No"
"F","Aftercare planning and referral","High","Yes","2","Demo","AftercarePlanning","AftercarePlanning.tsx","mockPatients.ts","full for aftercare_staff","In-memory only","None","None","","Not persisted","High","Persist aftercare plans with referral provider directory","Code Inspection","No","Yes","No","No","No"
"F","Sober living referral tracking","Medium","Yes","1","Demo","AftercarePlanning","AftercarePlanning.tsx","Page-local","full for aftercare_staff","In-memory only","None","None","","No provider directory integration","Medium","Build Maryland sober living provider directory integration","Code Inspection","No","Yes","No","No","No"
"F","Step-down program coordination","High","Yes","1.5","Demo","AftercarePlanning","AftercarePlanning.tsx","mockPatients.ts","full for aftercare_staff","In-memory only","None","None","","No real coordination workflow","Medium","Implement step-down eligibility and referral workflow","Code Inspection","No","Yes","No","No","No"
"F","Patient engagement score tracking","High","Yes","2","Demo","RecoveryEngagementScore","RecoveryEngagementScore.tsx","mockPatients.ts","full for clinical_supervisor","In-memory only","None","None","","RES not clinically validated","Medium","Validate RES methodology; persist scores","Code Inspection","No","Yes","No","No","No"
"F","Family education documentation","Medium","Yes","1","Demo","FamilyEngagement","FamilyEngagement.tsx","mockPatients.ts","full for certified_clinician","In-memory only","None","None","","Not persisted","Low","Add family education session documentation","Code Inspection","No","Yes","No","No","No"
"G","Concurrent review documentation","Critical","Yes","2","Demo","InsuranceAuthorization","InsuranceAuthorization.tsx","Page-local","full for billing_staff","In-memory only","None","None","","Not persisted","Critical","Persist concurrent review records with approved day limits","Code Inspection","No","Yes","No","No","No"
"G","Prior authorization request (278)","Critical","Yes (UI)","1","Demo","InsuranceAuthorization","InsuranceAuthorization.tsx","None","full for billing_staff","None","None","None","","No payer API","Critical","Integrate electronic 278 PA submission","Code Inspection","No","Yes","No","No","No"
"G","Authorization days remaining alert","High","Yes","2","Demo","InsuranceAuthorization","InsuranceAuthorization.tsx","Page-local","full for billing_staff","In-memory only","None","None","","No real payer data","High","Alert based on real payer-confirmed remaining days","Code Inspection","No","Yes","No","No","No"
"G","Authorization denial management","High","Yes","1.5","Demo","InsuranceAuthorization","InsuranceAuthorization.tsx","Page-local","full for billing_staff","In-memory only","None","None","","Denial workflow is UI-only","High","Build denial queue with appeal workflow and deadline tracking","Code Inspection","No","Yes","No","No","No"
"G","Level-of-care justification documentation","Critical","Yes","2","Demo","ProgressNotes, InsuranceAuthorization","ProgressNotes.tsx, InsuranceAuthorization.tsx","mockPatients.ts","full for certified_clinician","In-memory only","Unit tests (96)","None","","Medical necessity engine is rule-based; not persisted","Critical","Persist medical necessity justification linked to authorization","Automated Test","No","Yes","Yes","No","No"
"G","ASAM criteria mapping to LOC","High","Yes","2","Demo","ASAMAssessments","ASAMAssessments.tsx","Page-local","full for clinical_supervisor","In-memory only","None","None","","Mapping is UI-only","High","Implement criteria-based LOC recommendation from ASAM scores","Code Inspection","No","Yes","No","No","No"
"G","Utilization review queue","High","Yes","1.5","Demo","InsuranceAuthorization","InsuranceAuthorization.tsx","Page-local","full for billing_staff","In-memory only","None","None","","Not a real UR queue","High","Build UR queue with payer-required documentation checklist","Code Inspection","No","Yes","No","No","No"
"G","Payer-specific documentation requirements","High","No","0","Missing","InsuranceAuthorization","","None","","","None","None","","Feature absent","High","Add configurable payer documentation requirement templates","Unable to Verify","No","No","No","No","No"
"G","Case rate vs. per-diem tracking","Medium","Yes","1","Demo","RevenueCycle","RevenueCycle.tsx","Page-local","full for billing_staff","None","None","None","","Mock financial data","Medium","Track contract type against authorization and census","Code Inspection","No","Yes","No","No","No"
"G","UR denial rate analytics","Medium","Yes","1","Demo","RevenueCycle","RevenueCycle.tsx","Page-local","full for billing_staff","None","None","None","","Mock data","Medium","Compute real denial rates from claims data","Code Inspection","No","Yes","No","No","No"
"G","Peer-to-peer review request documentation","Medium","No","0","Missing","InsuranceAuthorization","","None","","","None","None","","Feature absent","Medium","Add peer-to-peer review request tracking and deadline management","Unable to Verify","No","No","No","No","No"
"G","Expedited appeal tracking","High","No","0","Missing","InsuranceAuthorization","","None","","","None","None","","Feature absent","High","Add expedited and standard appeal workflow with 72-hour tracking","Unable to Verify","No","No","No","No","No"
"H","Charge capture","Critical","No","0","Missing","RevenueCycle","","None","","","None","None","","Feature absent","Critical","Implement encounter-based charge capture linked to CPT codes","Unable to Verify","No","No","No","No","No"
"H","Professional claim generation (CMS-1500 / 837P)","Critical","No","0","Missing","RevenueCycle","","None","","","None","None","","Feature absent","Critical","Generate HIPAA-compliant 837P from encounter data","Unable to Verify","No","No","No","No","No"
"H","Institutional claim generation (UB-04 / 837I)","Critical","No","0","Missing","RevenueCycle","","None","","","None","None","","Feature absent","Critical","Generate 837I for residential/inpatient levels of care","Unable to Verify","No","No","No","No","No"
"H","Clearinghouse submission","Critical","No","0","Missing","RevenueCycle","","None","","","None","None","","Feature absent","Critical","Integrate clearinghouse (Change Healthcare/Availity) for claim submission","Unable to Verify","No","No","No","No","No"
"H","Claim status tracking (277)","High","No","0","Missing","RevenueCycle","","None","","","None","None","","Feature absent","High","Process 277 claim status responses from clearinghouse","Unable to Verify","No","No","No","No","No"
"H","Claim acknowledgement processing (999/TA1)","High","No","0","Missing","RevenueCycle","","None","","","None","None","","Feature absent","High","Process 999 and TA1 acknowledgements from clearinghouse","Unable to Verify","No","No","No","No","No"
"H","ERA remittance posting (835)","Critical","No","0","Missing","RevenueCycle","","None","","","None","None","","Feature absent","Critical","Process 835 ERA and post payments to claim lines","Unable to Verify","No","No","No","No","No"
"H","Denial management queue","High","Yes","1.5","Demo","RevenueCycle","RevenueCycle.tsx","Page-local","full for billing_staff","In-memory only","None","None","","UI only; no real claim data","High","Build denial queue with reason code analysis and appeal workflow","Code Inspection","No","Yes","No","No","No"
"H","Accounts receivable tracking","High","Yes","1.5","Demo","RevenueCycle","RevenueCycle.tsx","Page-local","full for billing_staff","None","None","None","","All mock AR data","High","Compute AR from real claim submission and payment data","Code Inspection","No","Yes","No","No","No"
"H","Revenue cycle analytics dashboard","High","Yes","1.5","Demo","RevenueCycle","RevenueCycle.tsx","Page-local","full for billing_staff","None","None","None","","Mock data","High","Feed dashboard with real claims and payment data","Code Inspection","No","Yes","No","No","No"
"H","Patient financial responsibility counseling","High","Yes","1.5","Demo","FinancialCounseling","FinancialCounseling.tsx","Page-local","full for billing_staff","In-memory only","None","None","","Not persisted","High","Persist financial agreements and payment plans","Code Inspection","No","Yes","No","No","No"
"H","Sliding-scale fee assessment","Medium","Yes","1","Demo","FinancialCounseling","FinancialCounseling.tsx","Page-local","full for billing_staff","None","None","None","","Assessment is UI-only","Medium","Implement sliding-scale fee calculation with income verification","Code Inspection","No","Yes","No","No","No"
"H","Patient statement generation","High","No","0","Missing","RevenueCycle","","None","","","None","None","","Feature absent","High","Generate patient statements with payment portal link","Unable to Verify","No","No","No","No","No"
"H","Online patient payment","Medium","No","0","Missing","RevenueCycle","","None","","","None","None","","Feature absent","Medium","Integrate payment processor (Stripe or InstaMed) for patient payments","Unable to Verify","No","No","No","No","No"
"H","Medicaid billing rules","Critical","No","0","Missing","RevenueCycle","","None","","","None","None","","Feature absent","Critical","Implement Maryland Medicaid billing rules and encounter submission","Unable to Verify","No","No","No","No","No"
"H","Medicare billing rules","High","No","0","Missing","RevenueCycle","","None","","","None","None","","Feature absent","High","Implement Medicare Part B billing for outpatient services","Unable to Verify","No","No","No","No","No"
"H","Commercial payer contract management","Medium","No","0","Missing","RevenueCycle","","None","","","None","None","","Feature absent","Medium","Add payer contract rate configuration with auto-adjustment","Unable to Verify","No","No","No","No","No"
"H","Authorization-to-claim linkage","Critical","No","0","Missing","InsuranceAuthorization, RevenueCycle","","None","","","None","None","","Feature absent","Critical","Link authorization records to claim lines for PA validation","Unable to Verify","No","No","No","No","No"
"H","Diagnosis code lookup (ICD-10-CM)","Critical","No","0","Missing","Admissions","","None","","","None","None","","No ICD-10 lookup","Critical","Integrate ICD-10-CM code search at admission and documentation","Unable to Verify","No","No","No","No","No"
"H","Procedure code lookup (CPT/HCPCS)","Critical","No","0","Missing","RevenueCycle","","None","","","None","None","","No CPT lookup","Critical","Integrate CPT/HCPCS code search at charge entry","Unable to Verify","No","No","No","No","No"
"H","Billing staff productivity reporting","Medium","Yes","1","Demo","RevenueCycle","RevenueCycle.tsx","Page-local","full for billing_staff","None","None","None","","Mock data only","Medium","Track billing staff productivity from real claim data","Code Inspection","No","Yes","No","No","No"
"H","Bad debt write-off management","Low","No","0","Missing","RevenueCycle","","None","","","None","None","","Feature absent","Low","Add write-off workflow with approval and audit trail","Unable to Verify","No","No","No","No","No"
"H","Collection agency referral tracking","Low","No","0","Missing","RevenueCycle","","None","","","None","None","","Feature absent","Low","Add collection referral workflow with balance threshold rules","Unable to Verify","No","No","No","No","No"
"I","Workforce compliance dashboard","High","Yes","3","Demo/Partial","WorkforceCompliance","WorkforceCompliance.tsx (4300 lines)","mockCompliance.ts, localStorage","full for director_of_operations","localStorage","None","None","","localStorage persistence only","High","Migrate compliance state to database","Code Inspection","No","Yes","No","No","No"
"I","CARF standards tracking","High","Yes","3","Demo/Partial","WorkforceCompliance","WorkforceCompliance.tsx","localStorage","full for director_of_operations","localStorage","None","None","","UI and localStorage; no real survey workflow","High","Add CARF survey submission workflow","Code Inspection","No","Yes","No","No","No"
"I","Joint Commission standards tracking","High","Yes","3","Demo/Partial","WorkforceCompliance","WorkforceCompliance.tsx","localStorage","full for director_of_operations","localStorage","None","None","","UI and localStorage only","High","Add Joint Commission survey submission workflow","Code Inspection","No","Yes","No","No","No"
"I","Maryland state licensing compliance","High","Yes","2.5","Demo/Partial","WorkforceCompliance","WorkforceCompliance.tsx","localStorage","full for director_of_operations","localStorage","None","None","","MD-specific but no OHCQ integration","High","Integrate with Maryland OHCQ reporting requirements","Code Inspection","No","Yes","No","No","No"
"I","Corrective action plan management","High","Yes","2.5","Demo/Partial","WorkforceCompliance","WorkforceCompliance.tsx","localStorage","full for director_of_operations","localStorage","None","None","","Plans in localStorage; no document upload backend","High","Persist CAPs in database with evidence attachment","Code Inspection","No","Yes","No","No","No"
"I","Staff certification and license tracking","High","Yes","2","Demo","CertificationTracker","CertificationTracker.tsx","mockStaff.ts","full for human_resources","In-memory only","None","None","","Not persisted; no verification integration","High","Persist certifications with expiration alerts and renewal workflow","Code Inspection","No","Yes","No","No","No"
"I","License expiration alerts","High","Yes","2","Demo","CertificationTracker","CertificationTracker.tsx","mockStaff.ts","full for human_resources","In-memory only","None","None","","Not persisted","High","Send alerts 90/60/30 days before license expiration","Code Inspection","No","Yes","No","No","No"
"I","OIG/SAM exclusion screening","Critical","No","0","Missing","StaffAdmin","","None","","","None","None","","Feature absent","Critical","Integrate monthly OIG/SAM exclusion check for all staff","Unable to Verify","No","No","No","No","No"
"I","Staff scheduling and shift management","High","Yes","2","Demo","StaffScheduling","StaffScheduling.tsx","mockStaff.ts","full for director_of_operations","In-memory only","None","None","","Not persisted","High","Persist shift schedule with conflict detection backend","Code Inspection","No","Yes","No","No","No"
"I","PTO request and approval workflow","High","Yes","2","Demo","StaffScheduling","StaffScheduling.tsx","mockStaff.ts","full for human_resources","In-memory only","None","None","","Not persisted","High","Persist PTO records with approval chain","Code Inspection","No","Yes","No","No","No"
"I","Overtime tracking and alerts","Medium","No","0","Missing","StaffScheduling","","None","","","None","None","","Feature absent","Medium","Add overtime tracking with alert at threshold","Unable to Verify","No","No","No","No","No"
"I","Clinical supervision session documentation","High","Yes","2","Demo","ClinicalSupervision","ClinicalSupervision.tsx","mockStaff.ts","full for clinical_supervisor","In-memory only","None","None","","Not persisted","High","Persist supervision records with hour tracking for licensure","Code Inspection","No","Yes","No","No","No"
"I","Supervisee hour tracking for licensure","High","Yes","1.5","Demo","ClinicalSupervision","ClinicalSupervision.tsx","mockStaff.ts","full for clinical_supervisor","In-memory only","None","None","","Not connected to licensure requirements","High","Track supervised hours against state licensure requirements","Code Inspection","No","Yes","No","No","No"
"I","Training and CEU tracking","High","Yes","1.5","Demo","Training","Training.tsx","Page-local","full for all","In-memory only","None","None","","No LMS integration","Medium","Integrate LMS (Relias) for training completion tracking","Code Inspection","No","Yes","No","No","No"
"I","Staff performance management","Medium","No","0","Missing","StaffAdmin","","None","","","None","None","","Feature absent","Medium","Add performance review workflow with documentation","Unable to Verify","No","No","No","No","No"
"I","Incident reporting and investigation","High","Yes","2","Demo","IncidentReporting","IncidentReporting.tsx","Page-local","full for clinical_supervisor","In-memory only","None","None","","Not persisted","High","Persist incident reports with investigation workflow","Code Inspection","No","Yes","No","No","No"
"I","OSHA incident tracking","High","No","0","Missing","IncidentReporting","","None","","","None","None","","Feature absent","High","Add OSHA 300/301 incident classification and reporting","Unable to Verify","No","No","No","No","No"
"I","Patient grievance tracking","Medium","No","0","Missing","","","None","","","None","None","","Feature absent","Medium","Add patient grievance and resolution workflow","Unable to Verify","No","No","No","No","No"
"I","Regulatory survey management","High","Yes","2","Demo","AuditCompliance","AuditCompliance.tsx","mockCompliance.ts","full for director_of_operations","In-memory only","None","None","","Not persisted","High","Build survey-readiness workflow with real document management","Code Inspection","No","Yes","No","No","No"
"I","Quality improvement program management","High","Yes","2","Demo","QualityImprovement","QualityImprovement.tsx","Page-local","full for director_of_operations","In-memory only","None","None","","Not persisted","Medium","Persist QI metrics and PDSA cycles","Code Inspection","No","Yes","No","No","No"
"I","Background check integration","Medium","No","0","Missing","StaffAdmin","","None","","","None","None","","Feature absent","Medium","Integrate Checkr or Sterling for automated background screening","Unable to Verify","No","No","No","No","No"
"I","Contract staff credentialing","Medium","No","0","Missing","CertificationTracker","","None","","","None","None","","Feature absent","Medium","Add contractor credentialing workflow","Unable to Verify","No","No","No","No","No"
"J","Clinical outcomes dashboard","High","Yes","2","Demo","Outcomes","Outcomes.tsx","Page-local mock","full for director_of_operations","None","None","None","","All mock data","High","Feed dashboard with real clinical measure data","Code Inspection","No","Yes","No","No","No"
"J","Program-level outcome benchmarking","High","Yes","2","Demo","OutcomeTracking","OutcomeTracking.tsx","Page-local mock","full for director_of_operations","None","None","None","","Mock data","High","Connect outcome tracking to real patient assessment results","Code Inspection","No","Yes","No","No","No"
"J","Recovery Engagement Score (RES)","Medium","Yes","2","Demo","RecoveryEngagementScore","RecoveryEngagementScore.tsx","mockPatients.ts","full for clinical_supervisor","None","None","None","","RES methodology not clinically validated","Medium","Validate RES; get clinical review and publication","Code Inspection","No","Yes","No","No","No"
"J","Readmission rate tracking","High","Yes","1","Demo","Outcomes","Outcomes.tsx","Page-local mock","full for director_of_operations","None","None","None","","Mock data","High","Compute readmission rates from real discharge and readmission events","Code Inspection","No","Yes","No","No","No"
"J","Treatment completion rate","High","Yes","1.5","Demo","Outcomes","Outcomes.tsx","Page-local mock","full for director_of_operations","None","None","None","","Mock data","High","Compute completion rate from real admission/discharge data","Code Inspection","No","Yes","No","No","No"
"J","Substance use outcome tracking","High","Yes","1.5","Demo","OutcomeTracking","OutcomeTracking.tsx","Page-local mock","full for clinical_supervisor","None","None","None","","Mock data","High","Track abstinence and substance use measures from instrument scores","Code Inspection","No","Yes","No","No","No"
"J","Mental health outcome tracking (PHQ-9/GAD-7 trends)","High","Yes","1.5","Demo","MeasurementBasedCare","MeasurementBasedCare.tsx","Page-local","full for certified_clinician","In-memory only","None","None","","Not persisted","High","Persist instrument scores and compute trend analytics","Code Inspection","No","Yes","No","No","No"
"J","Patient satisfaction surveys","Medium","No","0","Missing","","","None","","","None","None","","Feature absent","Medium","Add patient satisfaction collection and analytics","Unable to Verify","No","No","No","No","No"
"J","Population analytics dashboard","High","Yes","2","Demo","PopulationAnalytics","PopulationAnalytics.tsx","Page-local mock","full for director_of_operations","None","None","None","","All mock data","High","Feed population dashboard with real patient and clinical data","Code Inspection","No","Yes","No","No","No"
"J","Quality measure reporting (HEDIS/BHQR)","High","No","0","Missing","QualityImprovement","","None","","","None","None","","Feature absent","High","Implement HEDIS and BHQR measure calculation engine","Unable to Verify","No","No","No","No","No"
"J","State regulatory reporting (SPA/Block Grant)","Critical","No","0","Missing","","","None","","","None","None","","Feature absent","Critical","Build Maryland ADAA block grant report generation","Unable to Verify","No","No","No","No","No"
"J","Clinical intelligence dashboard","High","Yes","2","Demo","ClinicalIntelligence","ClinicalIntelligence.tsx","Page-local mock","full for cmo","None","None","None","","All mock data","High","Feed clinical intelligence from real patient data","Code Inspection","No","Yes","No","No","No"
"J","Risk stratification","High","Yes","1.5","Demo","RiskDashboard","RiskDashboard.tsx","mockPatients.ts","full for clinical_supervisor","None","None","None","","Mock risk scores","High","Implement validated risk algorithm with real patient data","Code Inspection","No","Yes","No","No","No"
"J","Predictive readmission risk","Medium","Yes","1","Demo","ClinicalIntelligence","ClinicalIntelligence.tsx","Page-local mock","full for cmo","None","None","None","","UI placeholder only","Medium","Build predictive model from real outcomes data","Code Inspection","No","Yes","No","No","No"
"J","Operational dashboard (staffing/census/financials)","High","Yes","2","Demo","Dashboard","Dashboard.tsx","mockPatients.ts","full for director_of_operations","None","None","None","","All mock data","High","Feed operational dashboard from real census and financial data","Code Inspection","No","Yes","No","No","No"
"J","Custom report builder","Medium","No","0","Missing","","","None","","","None","None","","Feature absent","Medium","Add configurable report builder with export","Unable to Verify","No","No","No","No","No"
"K","AI-assisted progress note drafting","High","Yes","3.5","Demo/Partial","ProgressNotes","ProgressNotes.tsx, aiNoteEngine.ts","mockPatients.ts","full for certified_clinician (canUseAIAssist)","In-memory AI audit events","Unit tests (96)","None","","No real LLM; rule-based only; no persistence","High","Persist AI draft events; add model governance","Automated Test","No","Yes","Yes","No","No"
"K","Section-aware improve clarity","High","Yes","3.5","Demo/Partial","ProgressNotes","ProgressNotes.tsx, clarityConfig.ts","None (local rule engine)","full for certified_clinician (canUseAIAssist)","In-memory AI audit events","Unit tests (96 — extensive clarity coverage)","None","","No persistence","Medium","Persist clarity audit events","Automated Test","No","Yes","Yes","No","No"
"K","Medical necessity documentation check","High","Yes","3.5","Demo/Partial","ProgressNotes","ProgressNotes.tsx, medicalNecessityConfig.ts","mockPatients.ts","full for certified_clinician (canUseAIAssist)","In-memory AI audit events","Unit tests (28)","None","","No persistence","Medium","Persist necessity check results with finding IDs","Automated Test","No","Yes","Yes","No","No"
"K","Internal consistency check","High","Yes","3","Demo/Partial","ProgressNotes","ProgressNoteAIAssist.tsx","None","full for certified_clinician","In-memory only","None","None","","No unit tests for consistency engine","Medium","Add unit tests and persist consistency findings","Code Inspection","No","Yes","No","No","No"
"K","Completeness scoring","High","Yes","3","Demo/Partial","ProgressNotes","ProgressNoteAIAssist.tsx","mockPatients.ts","full for certified_clinician","In-memory only","None","None","","No persistence","Medium","Persist completeness scores","Code Inspection","No","Yes","No","No","No"
"K","AI Clinical Documentation Review pipeline (5-step)","High","Yes","3.5","Demo/Partial","ProgressNotes","ProgressNoteAIAssist.tsx","clarityConfig.ts, medicalNecessityConfig.ts","full for certified_clinician","In-memory AI audit events","Unit tests (96)","None","","No persistence","High","Persist pipeline results with finding IDs","Automated Test","No","Yes","Yes","No","No"
"K","Per-field jump navigation from AI findings","High","Yes","3.5","Demo/Partial","ProgressNotes","ProgressNoteAIAssist.tsx","None","full for certified_clinician","In-memory only","None","None","","Navigation to target field confirmed working","Low","Minor — document navigation contracts in developer guide","Code Inspection","No","Yes","No","No","No"
"K","Stale detection for clarity revisions","High","Yes","4","Demo/Partial","ProgressNotes","ProgressNoteAIAssist.tsx, clarityConfig.ts","None","full for certified_clinician","In-memory only","Unit tests (extensive)","None","","Best-tested feature; no persistence","Low","Add persistence as part of AI audit backend","Automated Test","No","Yes","Yes","No","No"
"K","AI audit trail (in-memory)","High","Yes","2.5","Demo/Partial","ProgressNotes","ProgressNotes.tsx","None","full for certified_clinician","In-memory only","None","None","","AI audit log resets on refresh","Critical","Persist AI audit events to append-only store","Code Inspection","No","Yes","No","No","No"
"K","Wet signature capture","High","Yes","2.5","Demo/Partial","ProgressNotes","SignatureModal.tsx, WetSignatureCanvas.tsx","None","full for certified_clinician","In-memory only","None","None","","Signature image not persisted","High","Store signed note with signature image hash in database","Code Inspection","No","Yes","No","No","No"
"K","AI safety guardrails (no auto-insert/no auto-sign)","Critical","Yes","4","Demo/Partial","ProgressNotes","ProgressNoteAIAssist.tsx","None","full for certified_clinician","None","None","None","","All inserts require explicit confirmation; no auto-sign confirmed","Low","Maintain; document as governance control","Code Inspection","No","Yes","No","No","No"
"K","AI clinical disclaimer","High","Yes","4","Demo/Partial","ProgressNotes","ProgressNoteAIAssist.tsx","None","full for certified_clinician","None","None","None","","Disclaimer text confirmed in source","Low","Maintain; add to governance documentation","Code Inspection","No","Yes","No","No","No"
"K","Session recording for AI transcription","Medium","Yes","1","Demo","ProgressNotes","SessionRecorderModal.tsx","None","full for certified_clinician","None","None","None","","Simulated; no real transcription","Medium","Integrate real audio transcription with PHI handling compliance review","Code Inspection","No","Yes","No","No","No"
"K","Standalone AI assistant","Low","Yes","1","Demo","AIAssistant","AIAssistant.tsx","None","full for clinical_supervisor","None","None","None","","UI placeholder; no real AI","Low","Connect to governed AI backend when ready","Code Inspection","No","Yes","No","No","No"
"K","Predictive analytics for clinical outcomes","Low","Yes","1","Demo","ClinicalIntelligence","ClinicalIntelligence.tsx","Page-local mock","full for cmo","None","None","None","","Mock predictions only","Low","Productize prediction models from real outcomes data","Code Inspection","No","Yes","No","No","No"
"K","Drug interaction decision support","Critical","No","0","Missing","PhysicianOrders","","None","","","None","None","","Feature absent; no drug database","Critical","Integrate drug database for interaction checking","Unable to Verify","No","No","No","No","No"
"L","Role-based access control (UI)","Critical","Yes","3","Demo/Partial","All screens","mockRoles.ts","None","All roles","None","None","None","","UI-only enforcement","Critical","Implement server-side RBAC with JWT/session claims","Code Inspection","No","Yes","No","No","No"
"L","Role-based access control (server-side)","Critical","No","0","Missing","All screens","","None","","","None","None","","Feature absent","Critical","Build middleware-enforced authorization on all API routes","Unable to Verify","No","No","No","No","No"
"L","17 configurable roles","High","Yes","3","Demo/Partial","RoleExplorer","mockRoles.ts, App.tsx","None","All roles","None","None","None","","Role definitions exist; no admin backend to edit them","Medium","Add role management UI backed by database","Code Inspection","No","Yes","No","No","No"
"L","Permission admin UI","High","No","0","Missing","StaffAdmin","","None","","","None","None","","Feature absent","High","Build permission management UI with audit trail","Unable to Verify","No","No","No","No","No"
"L","Staff account management","High","Yes","1.5","Demo","StaffAdmin","StaffAdmin.tsx","mockStaff.ts","full for human_resources","In-memory only","None","None","","No real IAM","High","Build staff account management with real identity provider","Code Inspection","No","Yes","No","No","No"
"L","User provisioning and deprovisioning","Critical","No","0","Missing","StaffAdmin","","None","","","None","None","","Feature absent","Critical","Implement SCIM provisioning with immediate deactivation","Unable to Verify","No","No","No","No","No"
"L","SSO (SAML / OIDC)","Critical","No","0","Missing","LoginPage","","None","","","None","None","","Feature absent","Critical","Integrate SSO with enterprise identity providers","Unable to Verify","No","No","No","No","No"
"L","MFA","Critical","No","0","Missing","LoginPage","","None","","","None","None","","Feature absent","Critical","Implement mandatory MFA with backup codes","Unable to Verify","No","No","No","No","No"
"L","Session management","Critical","No","0","Missing","LoginPage","","None","","","None","None","","Feature absent","Critical","Add server sessions with idle timeout and revocation","Unable to Verify","No","No","No","No","No"
"L","Audit logging — clinical actions","Critical","No","0","Missing","All clinical screens","","None","","","None","None","","Feature absent (AI events exist but are in-memory)","Critical","Persist all clinical action audit events to append-only store","Unable to Verify","No","No","No","No","No"
"L","Audit logging — administrative actions","Critical","No","0","Missing","StaffAdmin","","None","","","None","None","","Feature absent","Critical","Log all admin actions (access grant/revoke/delete)","Unable to Verify","No","No","No","No","No"
"L","Audit log search and export","High","No","0","Missing","","","None","","","None","None","","Feature absent","High","Build audit search and export for compliance officers","Unable to Verify","No","No","No","No","No"
"L","Tamper-evident audit log","Critical","No","0","Missing","","","None","","","None","None","","Feature absent","Critical","Implement hash-chain or WORM-backed audit store","Unable to Verify","No","No","No","No","No"
"L","HIPAA technical safeguards","Critical","No","0","Missing","All","","None","","","None","None","","Not implemented","Critical","Complete all HIPAA technical safeguard requirements","Unable to Verify","No","No","No","No","No"
"L","42 CFR Part 2 access controls","Critical","Yes (UI)","1","Demo","MedicalRecords","MedicalRecords.tsx","Page-local","full for admin_staff","None","None","None","","UI flags only; no backend enforcement","Critical","Implement backend consent segmentation for SUD records","Code Inspection","No","Yes","No","No","No"
"L","Encryption in transit (HTTPS/TLS)","Critical","Unknown","1","Unknown","All","","None","","","None","None","None","","Cannot confirm from codebase","Critical, Enforce TLS at production hosting layer; document evidence","Unable to Verify","No","No","No","No","No"
"L","Encryption at rest","Critical","No","0","Missing","All","","None","","","None","None","","Feature absent (no database)","Critical","Enable database encryption at rest with documented key management","Unable to Verify","No","No","No","No","No"
"L","PHI data minimization","High","No","0","Missing","All","","None","","","None","None","","Feature absent","High","Implement field-level visibility rules based on role and need","Unable to Verify","No","No","No","No","No"
"L","FHIR R4 patient resource","High","No","0","Missing","","","None","","","None","None","","Feature absent","High","Implement FHIR R4 Patient resource endpoint","Unable to Verify","No","No","No","No","No"
"L","FHIR R4 clinical note (DocumentReference)","High","No","0","Missing","","","None","","","None","None","","Feature absent","High","Implement FHIR DocumentReference for progress notes","Unable to Verify","No","No","No","No","No"
"L","FHIR R4 medication (MedicationRequest)","High","No","0","Missing","","","None","","","None","None","","Feature absent","High","Implement FHIR MedicationRequest resource","Unable to Verify","No","No","No","No","No"
"L","HL7 v2 ADT feed","High","No","0","Missing","","","None","","","None","None","","Feature absent","High","Implement HL7 ADT feed for census events","Unable to Verify","No","No","No","No","No"
"L","Direct messaging (DIRECT protocol)","Medium","No","0","Missing","","","None","","","None","None","","Feature absent","Medium","Implement DIRECT message send/receive for care coordination","Unable to Verify","No","No","No","No","No"
"L","API rate limiting","Critical","No","0","Missing","","","None","","","None","None","","Feature absent","Critical","Implement rate limiting on all API endpoints","Unable to Verify","No","No","No","No","No"
"L","API authentication (JWT/OAuth2)","Critical","No","0","Missing","","","None","","","None","None","","Feature absent","Critical","Implement OAuth2/JWT token authentication for all API routes","Unable to Verify","No","No","No","No","No"
"L","Multi-tenant data isolation","Critical","No","0","Missing","All","","None","","","None","None","","Single-org demo only","Critical","Implement tenant model with row-level security","Unable to Verify","No","No","No","No","No"
"L","Database backup and recovery","Critical","No","0","Missing","","","None","","","None","None","","No database exists","Critical","Configure encrypted backups with tested restore procedures","Unable to Verify","No","No","No","No","No"
"L","Disaster recovery plan","Critical","No","0","Missing","","","None","","","None","None","","Feature absent","Critical","Define RTO/RPO and implement DR infrastructure","Unable to Verify","No","No","No","No","No"
"L","CI/CD pipeline","High","No","0","Missing","","","None","","","None","None","","No CI config found","High","Configure CI/CD with automated build/test/deploy","Unable to Verify","No","No","No","No","No"
"L","Automated testing in CI","High","No","0","Missing","","","None","","","None","None","","No CI testing configured","High","Add unit/integration/e2e tests to CI pipeline","Unable to Verify","No","No","No","No","No"
"L","Dependency vulnerability scanning","High","No","0","Missing","","","None","","","None","None","","pnpm audit not in CI","High","Add pnpm audit and SAST to CI pipeline","Unable to Verify","No","No","No","No","No"
