Role,RoleId,Screen,ViewPermission,CreatePermission,EditPermission,DeletePermission,SignPermission,CoSignPermission,ExportPermission,AIPermission,PatientAccessRestriction,FacilityRestriction,ReadOnlyBehavior,HiddenActionBehavior,DirectRouteProtection,Notes,Result
Administrative Staff,admin_staff,Settings,full,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Own settings,Pass
Billing Staff,billing_staff,Dashboard,read,No,No,No,No,No,Yes,No,No,No,Yes,No,Read-only billing overview,Pass
Billing Staff,billing_staff,ProgressNotes,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No clinical notes,Pass
Billing Staff,billing_staff,TreatmentPlans,read,No,No,No,No,No,Yes,No,No,No,Yes,No,Read-only for billing context,Pass
Billing Staff,billing_staff,ASAMAssessments,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No ASAM,Pass
Billing Staff,billing_staff,GroupNotes,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No group notes,Pass
Billing Staff,billing_staff,CosignQueue,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No co-sign,Pass
Billing Staff,billing_staff,NursingMAR,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No MAR,Pass
Billing Staff,billing_staff,WithdrawalMonitor,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No withdrawal monitor,Pass
Billing Staff,billing_staff,RevenueCycle,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Primary revenue cycle user,Pass
Billing Staff,billing_staff,InsuranceAuthorization,full,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Full auth management for billing,Pass
Billing Staff,billing_staff,AuditCompliance,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No compliance access,Pass
Billing Staff,billing_staff,StaffAdmin,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No admin access,Pass
Billing Staff,billing_staff,MedicalRecords,read,No,No,No,No,No,Yes,No,No,No,Yes,No,Read-only records for billing context,Pass
Billing Staff,billing_staff,AIAssistant,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No AI tools,Pass
Billing Staff,billing_staff,IncidentReporting,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No incident access,Pass
Billing Staff,billing_staff,PatientList,read,No,No,No,No,No,Yes,No,No,No,Yes,No,Read-only patient list for billing,Pass
Billing Staff,billing_staff,Admissions,read,No,No,No,No,No,Yes,No,No,No,Yes,No,Read-only admissions,Pass
Billing Staff,billing_staff,Discharges,read,No,No,No,No,No,Yes,No,No,No,Yes,No,Read-only discharge info for billing,Pass
Billing Staff,billing_staff,BedManagement,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No bed management,Pass
Billing Staff,billing_staff,Settings,full,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Own settings,Pass
Accounting Staff,accounting_staff,Dashboard,read,No,No,No,No,No,Yes,No,No,No,Yes,No,Financial overview only,Pass
Accounting Staff,accounting_staff,ProgressNotes,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No clinical notes,Pass
Accounting Staff,accounting_staff,TreatmentPlans,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No treatment plans,Pass
Accounting Staff,accounting_staff,ASAMAssessments,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No ASAM,Pass
Accounting Staff,accounting_staff,GroupNotes,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No group notes,Pass
Accounting Staff,accounting_staff,CosignQueue,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No co-sign queue,Pass
Accounting Staff,accounting_staff,NursingMAR,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No MAR,Pass
Accounting Staff,accounting_staff,WithdrawalMonitor,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No monitor,Pass
Accounting Staff,accounting_staff,RevenueCycle,full,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Full financial management access,Pass
Accounting Staff,accounting_staff,InsuranceAuthorization,read,No,No,No,No,No,Yes,No,No,No,Yes,No,Read-only for financial context,Pass
Accounting Staff,accounting_staff,AuditCompliance,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No compliance access,Pass
Accounting Staff,accounting_staff,StaffAdmin,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No admin access,Pass
Accounting Staff,accounting_staff,MedicalRecords,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No records access,Pass
Accounting Staff,accounting_staff,AIAssistant,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No AI tools,Pass
Accounting Staff,accounting_staff,IncidentReporting,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No incident access,Pass
Accounting Staff,accounting_staff,PatientList,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No patient access for accounting,Pass
Accounting Staff,accounting_staff,Admissions,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No admissions,Pass
Accounting Staff,accounting_staff,Discharges,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No discharges,Pass
Accounting Staff,accounting_staff,BedManagement,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No bed management,Pass
Accounting Staff,accounting_staff,Settings,full,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Own settings,Pass
Business Development,business_development,Dashboard,read,No,No,No,No,No,Yes,No,No,No,Yes,No,BD-focused overview,Pass
Business Development,business_development,ProgressNotes,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No clinical notes,Pass
Business Development,business_development,TreatmentPlans,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No treatment plans,Pass
Business Development,business_development,ASAMAssessments,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No clinical access,Pass
Business Development,business_development,GroupNotes,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No group notes,Pass
Business Development,business_development,CosignQueue,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No co-sign queue,Pass
Business Development,business_development,NursingMAR,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No MAR,Pass
Business Development,business_development,WithdrawalMonitor,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No monitor,Pass
Business Development,business_development,RevenueCycle,read,No,No,No,No,No,Yes,No,No,No,Yes,No,Read-only revenue for BD context,Pass
Business Development,business_development,InsuranceAuthorization,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No auth access,Pass
Business Development,business_development,AuditCompliance,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No compliance access,Pass
Business Development,business_development,StaffAdmin,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No admin access,Pass
Business Development,business_development,MedicalRecords,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No records,Pass
Business Development,business_development,AIAssistant,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No AI tools,Pass
Business Development,business_development,IncidentReporting,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No incidents,Pass
Business Development,business_development,PatientList,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No patient access for BD,Pass
Business Development,business_development,Admissions,read,No,No,No,No,No,Yes,No,No,No,Yes,No,Read-only admissions funnel view,Pass
Business Development,business_development,Discharges,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No discharges,Pass
Business Development,business_development,BedManagement,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No bed management,Pass
Business Development,business_development,Settings,full,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Own settings,Pass
Aftercare Staff,aftercare_staff,Dashboard,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No dashboard,Pass
Aftercare Staff,aftercare_staff,ProgressNotes,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No progress notes,Pass
Aftercare Staff,aftercare_staff,TreatmentPlans,read,No,No,No,No,No,Yes,No,No,No,Yes,No,Read-only for aftercare planning context,Pass
Aftercare Staff,aftercare_staff,ASAMAssessments,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No ASAM,Pass
Aftercare Staff,aftercare_staff,GroupNotes,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No group notes,Pass
Aftercare Staff,aftercare_staff,CosignQueue,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No co-sign queue,Pass
Aftercare Staff,aftercare_staff,NursingMAR,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No MAR,Pass
Aftercare Staff,aftercare_staff,WithdrawalMonitor,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No monitor,Pass
Aftercare Staff,aftercare_staff,RevenueCycle,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No revenue access,Pass
Aftercare Staff,aftercare_staff,InsuranceAuthorization,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No auth access,Pass
Aftercare Staff,aftercare_staff,AuditCompliance,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No compliance access,Pass
Aftercare Staff,aftercare_staff,StaffAdmin,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No admin access,Pass
Aftercare Staff,aftercare_staff,MedicalRecords,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No records access,Pass
Aftercare Staff,aftercare_staff,AIAssistant,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No AI tools,Pass
Aftercare Staff,aftercare_staff,IncidentReporting,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No incidents,Pass
Aftercare Staff,aftercare_staff,PatientList,read,No,No,No,No,No,Yes,No,No,No,Yes,No,Read-only for aftercare contact,Pass
Aftercare Staff,aftercare_staff,Admissions,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No admissions,Pass
Aftercare Staff,aftercare_staff,Discharges,read,No,No,No,No,No,Yes,No,No,No,Yes,No,Read-only for aftercare coordination,Pass
Aftercare Staff,aftercare_staff,BedManagement,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No bed management,Pass
Aftercare Staff,aftercare_staff,Settings,full,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Own settings,Pass
Ownership,ownership,Dashboard,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Highest access level; full dashboard,Pass
Ownership,ownership,ProgressNotes,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Can view all clinical documentation,Pass
Ownership,ownership,TreatmentPlans,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full oversight,Pass
Ownership,ownership,ASAMAssessments,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full oversight,Pass
Ownership,ownership,GroupNotes,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full oversight,Pass
Ownership,ownership,CosignQueue,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full oversight,Pass
Ownership,ownership,NursingMAR,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full oversight,Pass
Ownership,ownership,WithdrawalMonitor,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full oversight,Pass
Ownership,ownership,RevenueCycle,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full financial oversight,Pass
Ownership,ownership,InsuranceAuthorization,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full auth oversight,Pass
Ownership,ownership,AuditCompliance,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full compliance oversight,Pass
Ownership,ownership,StaffAdmin,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full staff administration,Pass
Ownership,ownership,MedicalRecords,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full records access,Pass
Ownership,ownership,AIAssistant,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full AI access,Pass
Ownership,ownership,IncidentReporting,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full incident oversight,Pass
Ownership,ownership,PatientList,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full patient access,Pass
Ownership,ownership,Admissions,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full admissions oversight,Pass
Ownership,ownership,Discharges,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full discharge oversight,Pass
Ownership,ownership,BedManagement,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full bed management,Pass
Ownership,ownership,Settings,full,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Full settings and configuration,Pass
Human Resources,human_resources,Dashboard,read,No,No,No,No,No,Yes,No,No,No,Yes,No,HR overview,Pass
Human Resources,human_resources,ProgressNotes,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No clinical access,Pass
Human Resources,human_resources,TreatmentPlans,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No clinical access,Pass
Human Resources,human_resources,ASAMAssessments,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No clinical access,Pass
Human Resources,human_resources,GroupNotes,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No clinical access,Pass
Human Resources,human_resources,CosignQueue,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No co-sign queue,Pass
Human Resources,human_resources,NursingMAR,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No MAR,Pass
Human Resources,human_resources,WithdrawalMonitor,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No monitor,Pass
Human Resources,human_resources,RevenueCycle,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No revenue,Pass
Human Resources,human_resources,InsuranceAuthorization,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No auth,Pass
Human Resources,human_resources,AuditCompliance,full,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,HR manages staff compliance documentation,Pass
Human Resources,human_resources,StaffAdmin,full,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Primary staff administration role,Pass
Human Resources,human_resources,MedicalRecords,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No records access,Pass
Human Resources,human_resources,AIAssistant,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No AI tools,Pass
Human Resources,human_resources,IncidentReporting,read,No,No,No,No,No,Yes,No,No,No,Yes,No,Read-only for HR investigation context,Pass
Human Resources,human_resources,PatientList,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No patient access for HR,Pass
Human Resources,human_resources,Admissions,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No admissions,Pass
Human Resources,human_resources,Discharges,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No discharges,Pass
Human Resources,human_resources,BedManagement,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No bed management,Pass
Human Resources,human_resources,Settings,full,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Own settings,Pass
Security Administrator,security_admin,Dashboard,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No dashboard,Pass
Security Administrator,security_admin,ProgressNotes,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No clinical notes,Pass
Security Administrator,security_admin,TreatmentPlans,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No treatment plans,Pass
Security Administrator,security_admin,ASAMAssessments,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No ASAM,Pass
Security Administrator,security_admin,GroupNotes,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No group notes,Pass
Security Administrator,security_admin,CosignQueue,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No co-sign queue,Pass
Security Administrator,security_admin,NursingMAR,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No MAR,Pass
Security Administrator,security_admin,WithdrawalMonitor,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No monitor,Pass
Security Administrator,security_admin,RevenueCycle,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No revenue,Pass
Security Administrator,security_admin,InsuranceAuthorization,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No auth,Pass
Security Administrator,security_admin,AuditCompliance,full,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Security admin manages compliance evidence,Pass
Security Administrator,security_admin,StaffAdmin,full,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Security admin manages access controls,Pass
Security Administrator,security_admin,MedicalRecords,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No records access — min-necessary,Pass
Security Administrator,security_admin,AIAssistant,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No AI tools,Pass
Security Administrator,security_admin,IncidentReporting,full,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Security manages security incident reports,Pass
Security Administrator,security_admin,PatientList,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No patient access — min-necessary,Pass
Security Administrator,security_admin,Admissions,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No admissions,Pass
Security Administrator,security_admin,Discharges,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No discharges,Pass
Security Administrator,security_admin,BedManagement,none,No,No,No,No,No,No,No,No,No,AccessDenied,N/A,No,No bed management,Pass
Security Administrator,security_admin,Settings,full,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Full settings and security configuration,Pass
